Feature,Importância,Importância (%)
IPP,0.24338681312095273,24.33868131209527
INDE 2023,0.14215243028515853,14.215243028515854
IPV,0.1021123530111841,10.21123530111841
Defasagem_2023,0.10154213637886525,10.154213637886524
IDA,0.08590899379383829,8.59089937938383
Ano ingresso,0.07624471537904619,7.624471537904618
Idade,0.058379458426588565,5.837945842658857
IAN,0.053972919460740475,5.397291946074048
IPS,0.04774669467491021,4.774669467491021
IEG,0.04768017072810118,4.768017072810117
IAA,0.04087331474061445,4.087331474061445
